RIST 3.99.10
RUSLE Storm Output Table for Period of Data Processed.

Date        PRECIP  DURATION     MAX_5    MAX_10    MAX_15    MAX_30    MAX_60          ENERGY                    EI30
MO/DA/YR        mm       hrs     mm/hr     mm/hr     mm/hr     mm/hr     mm/hr           MJ/ha             MJ*mm/ha*hr
----------------------------------------------------------------------------------------------------------------------
12/24/1993   18.24     17.50     4.848     3.624     3.216     2.408     2.404           2.842                   6.844
01/05/1994   25.71     58.92     7.200     7.200     7.200     6.000     4.252           4.085                  24.507
02/06/1994   13.72     11.08     4.752     3.576     3.184     2.792     2.792           2.132                   5.952
02/28/1994   23.95     38.50     2.400     2.400     2.400     2.400     1.816           3.683                   8.839
04/01/1994   18.84     16.58     4.848     3.624     3.424     3.160     2.398           2.934                   9.271
04/16/1994   20.55     19.50     7.200     7.200     5.600     4.816     4.012           3.382                  16.289
05/18/1994   33.21     33.17     7.200     7.200     7.200     6.400     6.196           5.458                  34.931
05/26/1994   14.15      4.00    16.920    14.580    12.776    10.396     8.268           2.648                  27.524
06/09/1994   26.28     12.33    11.808    10.704    10.336     9.968     6.536           4.712                  46.973
06/19/1994    9.15      5.58    50.473    35.638    26.517    14.362     7.801           2.064                  29.639
06/28/1994   15.96      8.42     9.720     8.424     7.368     6.464     5.252           2.824                  18.256
07/01/1994   16.65      4.58    28.709    23.298    20.672    16.817    10.284           3.294                  55.399
07/04/1994   24.52      2.67   101.102    88.535    63.861    35.410    18.956           6.053                 214.320
07/13/1994   16.96      8.00    31.466    25.597    21.001    12.832     7.795           3.337                  42.819
08/08/1994   17.48      2.67    22.564    20.146    16.151     9.587     8.627           3.482                  33.382
08/11/1994   24.49     12.17    60.743    42.711    33.394    21.798    11.071           5.685                 123.930
08/13/1994   30.75      8.75    31.308    20.801    15.892     9.854     6.923           6.045                  59.563
08/17/1994   21.43     16.25    22.181    20.546    17.697    14.457    10.088           4.238                  61.264
08/24/1994   29.00     10.67    22.000    19.200    15.603    12.525     9.639           5.640                  70.637
08/29/1994   15.67     11.92    50.851    40.348    31.074    17.017    12.108           3.406                  57.963
08/30/1994   10.17      7.67    63.152    43.370    30.513    17.717     9.388           2.492                  44.153
08/31/1994   20.61     10.33    12.048    12.000    11.200    10.456     9.432           3.880                  40.564
09/01/1994   38.46     16.25    19.236    16.092    13.780    12.082     9.799           7.271                  87.844
09/08/1994   73.39     29.67    32.000    25.920    19.360    16.212    13.360          14.396                 233.383
09/13/1994   40.15     18.25    17.340    15.660    14.468    13.460     8.454           7.755                 104.384
09/14/1994   72.23     37.75    29.040    24.360    20.907    15.365    12.423          13.870                 213.111
09/16/1994   13.24     16.67     2.400     2.400     2.400     2.000     1.792           2.039                   4.079
09/26/1994   38.80     17.92    12.144    10.872    10.448     8.480     6.804           6.980                  59.192
10/02/1994   19.22     29.67     7.104     5.160     4.000     3.200     2.600           3.072                   9.831
10/04/1994   14.56      7.17    11.856     8.928     8.832     8.024     5.624           2.669                  21.414
10/23/1994   15.27     27.75     4.800     4.800     4.800     3.200     2.396           2.386                   7.635
10/28/1994   13.94      8.92     4.800     4.800     4.096     4.000     3.800           2.225                   8.901
11/10/1994   26.97     23.67     4.848     4.800     4.096     4.008     3.204           4.287                  17.181
04/19/1995   27.14     43.67     2.400     2.400     2.400     2.040     1.588           4.201                   8.569
04/24/1995   20.24     48.42     4.848     3.624     2.544     2.000     1.588           3.156                   6.312
05/11/1995   49.17     58.08     7.200     7.200     6.608     6.400     5.996           8.051                  51.526
05/19/1995   15.04     22.08     7.152     5.976     5.584     5.192     4.196           2.433                  12.632
05/30/1995   20.84     11.08    19.349    13.107    11.922     9.961     8.596           3.895                  38.793
05/31/1995   31.80     10.92    16.656    13.560    12.240    10.528     9.036           5.758                  60.620
06/01/1995   37.57     14.75     9.648     8.424     8.016     7.608     6.624           6.720                  51.128
06/04/1995   15.80     14.67    29.066    23.197    18.601    11.700     7.650           2.981                  34.881
06/05/1995   16.53     15.17     7.248     6.024     4.928     4.448     3.600           2.709                  12.050
06/10/1995   38.46     26.92     7.200     7.200     7.200     6.832     5.180           6.354                  43.413
07/12/1995   13.90      2.42    37.872    26.898    20.783    12.886     7.951           3.054                  39.358
07/15/1995   20.32      8.25    54.537    49.605    41.017    25.885    16.322           4.605                 119.188
07/25/1995   19.41      1.92    65.248    58.715    53.228    34.915    19.218           4.912                 171.505
07/27/1995    9.28      2.33    75.514    44.270    30.845    15.815     8.696           2.257                  35.691
07/28/1995   12.98      1.33    46.723    40.767    33.412    21.148    12.204           3.019                  63.848
08/08/1995   15.75     18.50    17.340    15.660    14.472    11.640     8.238           2.892                  33.658
08/13/1995   17.93     25.08    12.000    12.000    11.104     6.812     4.456           3.109                  21.176
08/15/1995    8.51      0.33    45.399    39.118    33.459    17.020     8.510           2.159                  36.749
08/27/1995   14.71     10.58    12.662    10.728     9.552     6.008     4.226           2.605                  15.652
09/07/1995   31.16     11.75    12.048    10.824    10.416     9.272     7.016           5.649                  52.381
09/08/1995   15.49      9.83    29.040    24.559    20.857    12.752     6.928           3.176                  40.503
09/13/1995   72.62     41.50    14.600    13.224    12.216    11.688    10.382          13.025                 152.238
09/19/1995   16.10      8.92     9.504     7.260     7.088     5.944     4.368           2.667                  15.850
01/06/1996   12.76     50.17     2.400     2.400     1.680     1.584     1.184           1.979                   3.134
04/01/1996   15.76     29.67     2.400     2.400     2.400     2.000     1.588           2.435                   4.870
04/25/1996   15.42     24.08     2.400     2.400     2.400     2.040     1.796           2.374                   4.843
05/03/1996   16.51     21.25     4.800     4.800     4.000     3.240     2.996           2.558                   8.288
05/09/1996   17.83     23.67     7.248     5.904     4.800     3.608     3.200           2.842                  10.254
05/12/1996   13.03     27.17     4.800     4.800     4.000     2.800     2.196           2.051                   5.743
05/19/1996   15.95      4.67     9.504     7.248     6.496     6.000     5.608           2.819                  16.913
05/20/1996   19.49     12.92    11.904    10.068     9.616     8.368     6.408           3.295                  27.573
06/21/1996   71.48     35.08    19.350    15.795    13.088    10.800    10.600          13.133                 141.837
07/01/1996   22.89     19.08    11.796     8.298     7.132     5.172     3.786           3.797                  19.636
07/02/1996   13.32     13.33     7.152     6.360     5.568     3.592     2.996           2.138                   7.680
07/07/1996   94.30     39.25    26.309    21.916    20.816    20.068    16.053          19.171                 384.727
07/29/1996   17.89      7.83    32.305    29.646    23.364    15.246     8.587           3.671                  55.962
08/10/1996   13.48     22.58     7.248     7.200     6.400     5.640     4.836           2.296                  12.949
08/12/1996   24.60     19.75    12.000    12.000    12.000     7.300     5.596           4.300                  31.392
08/14/1996   23.11     14.42    53.181    43.630    35.709    23.169    13.984           4.864                 112.682
08/24/1996   13.44      7.42    14.520    12.132    10.616     8.852     7.662           2.443                  21.625
08/27/1996   55.43     16.75    12.144    12.000    12.000    12.000    11.188          10.690                 128.279
09/24/1996   15.97      9.58     7.200     7.200     6.400     5.208     4.242           2.643                  13.763
10/02/1996   47.89     16.42     9.552     8.688     7.984     7.272     6.244           8.252                  60.006
10/05/1996   37.19     30.33     7.248     6.024     4.920     4.816     4.612           5.906                  28.444
10/14/1996  121.62     55.67    14.448    13.272    12.016    10.400     7.832          22.002                 228.823
10/17/1996   21.84     27.33     7.248     5.904     4.736     3.616     2.792           3.457                  12.502
11/10/1996   66.55     48.67     7.248     7.200     6.400     5.640     5.200          10.971                  61.876
11/13/1996  143.65     58.25     9.776     8.424     8.016     7.216     6.372          24.889                 179.602
11/16/1996   59.49     56.67     9.552     8.688     7.984     7.200     6.808          10.056                  72.400
01/04/1997   20.52     10.92     7.152     6.072     5.648     4.792     3.596           3.353                  16.069
04/27/1997   15.01     17.42     2.400     2.400     2.400     2.000     1.800           2.313                   4.627
05/05/1997   43.17     58.25     9.600     9.600     9.600     7.600     5.584           7.180                  54.565
06/12/1997   14.68     13.25    14.448    13.272    12.048     9.930     5.145           2.657                  26.386
06/16/1997   17.09     14.25     9.600     9.600     8.072     7.960     6.800           3.094                  24.625
06/17/1997   13.08      8.75    22.704    19.800    14.000     8.208     6.244           2.591                  21.269
06/19/1997   24.48     11.50    12.000    12.000    12.000    10.072     8.008           4.453                  44.849
06/22/1997   45.09     17.25    41.066    35.483    30.682    22.475    16.797           8.794                 197.640
06/26/1997  114.67     42.25    17.200    14.400    11.200    10.400     8.842          21.460                 223.179
06/29/1997   21.13     12.08    37.786    34.190    27.933    18.929    10.589           4.273                  80.890
07/04/1997   21.13     16.08    23.746    17.890    15.240    13.031     8.128           4.247                  55.342
07/09/1997   25.54      6.67    35.349    31.214    28.394    25.195    15.561           5.420                 136.550
07/14/1997   16.94      7.17    16.920    14.610    13.284    10.022     6.421           3.101                  31.081
07/17/1997   60.63     34.08   113.239    67.659    54.274    33.556    21.819          12.950                 434.551
07/24/1997   19.59      3.58    45.445    30.569    23.074    12.759    10.021           4.181                  53.339
07/28/1997   14.09      4.17    17.762    15.454    11.703     7.200     6.436           2.644                  19.040
07/31/1997   30.80      5.42    67.766    54.501    50.854    35.691    20.441           6.942                 247.770
08/05/1997   21.09      8.58    29.417    27.552    27.203    23.786    14.277           4.445                 105.738
08/28/1997   24.42     10.58    33.600    33.600    29.313    19.849    12.304           4.916                  97.582
09/04/1997   21.78      4.00     9.648     8.688     8.048     7.608     7.384           4.101                  31.204
09/07/1997   19.08      6.42    49.923    45.754    44.168    31.168    17.704           4.599                 143.356
